"Rank","Year","Artist","artist_name","Track","track_name","track_number","disc_number","album_name","album_type","artist_id","track_id","album_release_date","album_release_year","duration_ms","danceability","energy","key","key_name","key_mode","mode","mode_name","time_signature","loudness","speechiness","acousticness","instrumentalness","liveness","valence","tempo"
3,2018,"dan and shay","dan and shay","tequila","tequila",1,1,"Tequila","single","7z5WFjZAIYejWy0NI5lv4T","7Il2yWQmsqKgSkLQvHTPUI","2018-01-10",2018,195986,0.474,0.594,11,"B","B major",1,"major",4,-5.756,0.0289,0.0292,0,0.133,0.503,86.131
3,2019,"blake shelton","blake shelton","gods country","gods country",1,1,"God's Country","single","1UTPBmNbXNTittyMJrNkvw","1dyxS3YzBbL0t8rEVwVQ1K","2019-03-29",2019,205106,0.538,0.752,10,"A#","A# major",1,"major",4,-5.106,0.0396,0.0608,5.39e-06,0.118,0.217,139.984
4,2002,"steve holy","steve holy","good morning beautiful","good morning beautiful",12,1,"Blue Moon","album","0iYwcf0XreyCAswJOJMOII","0eHT8N5YQglv8cYYizXvSw","2000-10-03",2000,210933,0.565,0.5,7,"G","G major",1,"major",4,-8.822,0.031,0.452,0,0.137,0.242,70.984
4,2003,"alan jackson  jimmy buffett","alan jackson","its five oclock somewhere","its five oclock somewhere",11,1,"Playlist: The Very Best Of Alan Jackson","compilation","4mxWe1mtYIYfP040G38yvS","07KYRDFf8Q6sqj4PWCP9vh","1991",1991,230266,0.713,0.768,2,"D","D major",1,"major",4,-6.702,0.0363,0.22,0,0.177,0.878,125.203
4,2004,"kenny chesney  uncle kracker","kenny chesney","when the sun goes down","when the sun goes down",3,1,"When The Sun Goes Down","album","3grHWM9bx2E9vwJCdlRv9O","5vLonpxn4VN0A8GtQOBSG0","2004-01-22",2004,290560,0.798,0.741,9,"A","A major",1,"major",4,-6.802,0.0284,0.0432,3e-06,0.252,0.708,104.945
4,2005,"sugarland","sugarland","something more","something more",1,1,"Twice The Speed Of Life","album","0hYxQe3AK5jBPCr5MumLHD","3C3oknuBLo3jxhmRk67glu","2004-01-01",2004,216733,0.613,0.857,4,"E","E major",1,"major",4,-4.46,0.0545,0.29,0,0.113,0.349,102.261
4,2006,"rascal flatts","rascal flatts","what hurts the most","what hurts the most",2,1,"Me And My Gang","album","0a1gHP0HAqALbEyxaD5Ngn","34b3j2vJprCwwMd3xOD8yH","2006-01-01",2006,214106,0.535,0.68,5,"F","F minor",0,"minor",4,-5.137,0.0275,0.00766,0,0.301,0.309,136.018
4,2007,"rodney atkins","rodney atkins","these are my people","these are my people",1,1,"If You're Going Through Hell","album","2qgvmDsc4jrqbAbjq1HGM2","5jFid6SUnYqohvNvNuZvIz","2006-07-18",2006,213653,0.558,0.896,0,"C","C major",1,"major",4,-3.687,0.0545,0.0316,0,0.528,0.63,90.064
4,2008,"darius rucker","darius rucker","dont think i dont think about it","dont think i dont think about it",3,1,"Learn To Live","album","7FY5V3XMwlNBPitEjXowHQ","0XfFxeXzMkIy5SWAVpOQin","2008-01-01",2008,183306,0.578,0.752,9,"A","A major",1,"major",4,-5.264,0.033,0.0275,0,0.125,0.405,149.689
4,2009,"darius rucker","darius rucker","it wont be like this for long","it wont be like this for long",8,1,"Learn To Live","album","7FY5V3XMwlNBPitEjXowHQ","42lr0nNAuENaqImAFxtgyy","2008-01-01",2008,219000,0.584,0.524,4,"E","E major",1,"major",4,-6.001,0.0287,0.335,0,0.11,0.389,143.863
